_ID	logtime	flx	frx	rlx	rrx	pdbx	rdbx	fldx	frdx	rldx	rrdx	pfp	prp	pfdbp	prdbp	rlp	rrp	rldbp	rrdbp	steering_angle	craft_speed	pitchfrontin	pitchfrontout	pitchrearin	pitchrearout	pitchDBfrontin	pitchDBfrontout	pitchDBrearin	pitchDBrearout	pitchDBfrontacclock	pitchDBrearacclock	pitchDBfrontactivelock	pitchDBrearactivelock	rollleftin	rollleftout	rollrightin	rollrightout	rollDBleftin	rollDBleftout	rollDBrightin	rollDBrightout	rollDBleftacclock	rollDBrightacclock	rollDBleftactivelock	rollDBrightactivelock	damperFLcompression	damperFLrebound	damperFRcompression	damperFRrebound	damperRLcompression	damperRLrebound	damperRRcompression	damperRRrebound	pitchactive	rollactive	manual_active	setup_active	damping_active	active_active	dump_active	INS_Pitch	INS_Roll	INS_Yaw	INS_GyroX	INS_GyroY	INS_GyroZ	INS_Latitude	INS_Longitude	INS_Altitude	INS_VelX	INS_VelY	INS_VelZ	INS_AccX	INS_AccY	INS_AccZ	pitchProValvePressure	rollProValvePressure
0	0.0312496	198.1052	288.2977	225.5541	299.7143	1.205	-27.53	0	16.06522	-23.95287	-5.490112	77.863	56.1467	82.5035	22.18045	64.8768	70.2292	47.14062	62.0084	-11.93471	23.42333	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	548.8473	290	292.017	428.2454	1598.62	290	295.5228	290.015	1200	1007.494	False	False	True	True	False	-0.0993	-0.0284	2.4492	-0.013	-0.04	-0.157	-33.60849	115.1172	37040	11350	730	930	-0.9857289	0	0	94.7382	94.3686
0	0.078124	198.1052	289.5829	224.8171	299.7143	1.205	-27.75	0	32.12967	-18.42499	0	77.739	56.162	82.4717	22.53559	64.9221	70.1984	47.25659	61.913	-11.93471	23.42333	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	341.5505	290	290.4017	317.5321	1599.725	290	826.8493	290.003	1200	1003.455	False	False	True	True	False	-0.1003	-0.0291	2.443	-0.022	-0.037	-0.155	-33.60849	115.1173	37011	11350	730	950	-0.980632	0	0	94.6612	94.2762
0	0.1249984	198.1052	290.5468	224.0064	299.7143	1.205	-27.96	0	24.09821	-20.26749	0	77.677	56.2232	82.4717	22.87781	64.9674	70.1522	47.28818	61.6904	-12.07795	23.42333	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	300.2665	290	290.08	1053.146	1599.945	290	396.9157	290.0006	1200	1010.643	False	False	True	True	False	-0.1012	-0.0304	2.4369	-0.02	-0.031	-0.153	-33.60849	115.1173	37003	11340	730	970	-0.9745158	0	0	94.6458	94.2762
0	0.2031224	198.1052	292.7959	223.0483	299.8607	1.205	-28.13	0	56.22711	-23.95248	3.659821	77.491	56.2385	82.424	23.38928	65.058	69.9674	47.67157	61.3088	-12.07795	23.42333	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	290.4072	290	290.0032	1103.91	1599.366	290	294.2405	290	1200	1004.064	False	False	True	True	False	-0.1019	-0.0312	2.4308	-0.014	-0.027	-0.153	-33.6085	115.1173	36975	11340	730	980	-1.012232	0	0	94.6458	94.2762
0	0.2031224	198.1052	296.9728	222.3113	299.7143	1.21	-28.31	0	104.4228	-18.42499	-3.659821	77.274	56.2691	82.3286	23.98164	65.2996	69.5824	48.69664	60.5933	-12.07795	23.42333	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	290.4072	290	290.0032	1103.91	1599.366	290	294.2405	290	1200	1004.064	False	False	True	True	False	-0.1027	-0.0326	2.4249	-0.025	-0.028	-0.152	-33.6085	115.1173	36968	11340	720	990	-0.9959226	0	0	94.6304	94.2608
0	0.234372	198.1052	301.471	221.7217	299.7143	1.225	-28.49	0	112.455	-14.73999	0	76.902	56.3456	81.8834	24.78228	65.6318	69.0434	50.11491	59.5916	-12.21546	23.42333	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	290.4072	290	290.0032	1103.91	1599.366	290	294.2405	290	1200	1004.064	False	False	True	True	False	-0.1034	-0.0344	2.4186	-0.039	-0.021	-0.161	-33.6085	115.1173	36960	11340	720	1000	-0.9959226	0	0	94.5534	94.23
0	0.2656216	197.7973	307.897	221.1321	299.7143	1.245	-28.67	-7.697296	160.6499	-14.73999	0	76.4525	56.3456	81.1997	25.3472	65.9187	68.489	51.52969	58.6694	-12.21546	23.42333	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	290.0811	290	290.0006	1290.683	1599.874	290	290.8445	290	1200	1008.456	False	False	True	True	False	-0.1039	-0.0353	2.4143	-0.019	-0.022	-0.147	-33.60851	115.1173	36971	11400	960	1060	-0.9582059	0	0	94.5534	94.1838
0	0.312496	198.1052	313.0378	221.0584	299.9339	1.26	-28.84	7.697296	128.5202	-1.842499	5.490112	76.065	56.3456	80.5796	25.80348	66.0999	68.1194	52.45547	58.0652	-12.34724	23.42333	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1339.124	290	290.0001	1325.039	1599.975	290	290.1682	290	1200	1014.733	False	False	True	True	False	-0.104	-0.036	2.4081	-0.006	-0.007	-0.165	-33.60852	115.1173	36966	11390	960	1110	-0.8715596	0	0	94.5534	94.1838
0	0.3437456	198.1052	316.8934	221.648	300.0803	1.27	-29	0	96.38977	14.73999	3.659821	75.7705	56.2844	80.3252	26.19715	66.0999	67.95	52.63984	57.779	-12.34724	23.42333	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	498.9373	290	290	1333.007	1599.995	290	290.0335	290	1200	1007.539	False	False	True	True	False	-0.1037	-0.0367	2.4017	-0.011	0.006	-0.156	-33.60852	115.1173	36956	11390	980	1150	-0.9021407	0	0	94.5072	94.1376
0	0.39062	198.1052	319.4638	222.6061	300.2999	1.27	-29.13	0	64.2601	23.95248	5.490112	75.6465	56.2232	80.1662	26.21259	65.9791	67.9192	52.45345	57.8426	-12.34724	23.42333	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	498.9373	290	290	1333.007	1599.995	290	290.0335	290	1200	1007.539	False	False	True	True	False	-0.1031	-0.037	2.3956	0.009	0.007	-0.146	-33.60852	115.1173	36954	11390	990	1190	-0.8868502	0	0	94.538	94.1068
